"Bundesland / Messnetz";Stationscode;Stationsname;Stationsumgebung;"Art der Station";Schadstoff;"Art der Auswertung";Datum;Uhrzeit;Messwert;Einheit
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.02.2023;-;4;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";02.02.2023;-;4;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";03.02.2023;-;5;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";04.02.2023;-;2;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";05.02.2023;-;6;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";06.02.2023;-;14;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";07.02.2023;-;20;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";08.02.2023;-;24;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";09.02.2023;-;15;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";10.02.2023;-;24;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";11.02.2023;-;19;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";12.02.2023;-;9;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";13.02.2023;-;10;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";14.02.2023;-;15;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";15.02.2023;-;19;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";16.02.2023;-;22;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";17.02.2023;-;14;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";18.02.2023;-;3;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";19.02.2023;-;5;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";20.02.2023;-;7;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";21.02.2023;-;7;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";22.02.2023;-;15;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";23.02.2023;-;23;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";24.02.2023;-;9;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";25.02.2023;-;2;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";26.02.2023;-;1;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";27.02.2023;-;3;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";28.02.2023;-;9;µg/m³
Brandenburg;DEBB053;"Hasenholz (Buckow)";"ländlich regional";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.03.2023;-;8;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.01.2023;-;14;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";02.01.2023;-;10;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";03.01.2023;-;9;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";04.01.2023;-;4;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";05.01.2023;-;5;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";06.01.2023;-;6;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";07.01.2023;-;5;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";08.01.2023;-;6;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";09.01.2023;-;6;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";10.01.2023;-;8;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";11.01.2023;-;4;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";12.01.2023;-;4;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";13.01.2023;-;3;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";14.01.2023;-;5;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";15.01.2023;-;2;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";16.01.2023;-;4;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";17.01.2023;-;5;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";18.01.2023;-;15;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";19.01.2023;-;12;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";20.01.2023;-;20;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";21.01.2023;-;9;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";22.01.2023;-;7;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";23.01.2023;-;17;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";24.01.2023;-;14;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";25.01.2023;-;13;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";26.01.2023;-;10;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";27.01.2023;-;5;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";28.01.2023;-;5;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";29.01.2023;-;15;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";30.01.2023;-;9;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";31.01.2023;-;9;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.02.2023;-;7;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";02.02.2023;-;8;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";03.02.2023;-;9;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";04.02.2023;-;3;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";05.02.2023;-;8;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";06.02.2023;-;11;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";07.02.2023;-;25;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";08.02.2023;-;33;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";09.02.2023;-;21;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";10.02.2023;-;29;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";11.02.2023;-;21;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";12.02.2023;-;8;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";13.02.2023;-;11;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";14.02.2023;-;20;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";15.02.2023;-;26;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";16.02.2023;-;25;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";17.02.2023;-;13;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";18.02.2023;-;4;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";19.02.2023;-;5;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";20.02.2023;-;9;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";21.02.2023;-;4;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";22.02.2023;-;11;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";23.02.2023;-;25;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";24.02.2023;-;10;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";25.02.2023;-;3;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";26.02.2023;-;3;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";27.02.2023;-;7;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";28.02.2023;-;8;µg/m³
Brandenburg;DEBB055;"Brandenburg a.d. Havel";"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.03.2023;-;17;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.01.2023;-;10;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";02.01.2023;-;7;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";03.01.2023;-;10;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";04.01.2023;-;4;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";05.01.2023;-;3;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";06.01.2023;-;6;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";07.01.2023;-;8;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";08.01.2023;-;7;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";09.01.2023;-;6;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";10.01.2023;-;10;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";11.01.2023;-;5;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";12.01.2023;-;2;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";13.01.2023;-;3;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";14.01.2023;-;3;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";15.01.2023;-;2;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";16.01.2023;-;8;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";17.01.2023;-;4;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";18.01.2023;-;14;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";19.01.2023;-;12;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";20.01.2023;-;21;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";21.01.2023;-;11;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";22.01.2023;-;8;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";23.01.2023;-;14;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";24.01.2023;-;15;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";25.01.2023;-;11;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";26.01.2023;-;12;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";27.01.2023;-;4;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";28.01.2023;-;5;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";29.01.2023;-;17;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";30.01.2023;-;8;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";31.01.2023;-;6;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.02.2023;-;5;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";02.02.2023;-;6;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";03.02.2023;-;6;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";04.02.2023;-;5;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";05.02.2023;-;4;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";06.02.2023;-;10;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";07.02.2023;-;21;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";08.02.2023;-;33;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";09.02.2023;-;24;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";10.02.2023;-;27;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";11.02.2023;-;17;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";12.02.2023;-;8;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";13.02.2023;-;15;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";14.02.2023;-;17;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";15.02.2023;-;28;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";16.02.2023;-;26;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";17.02.2023;-;14;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";18.02.2023;-;4;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";19.02.2023;-;5;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";20.02.2023;-;8;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";21.02.2023;-;6;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";22.02.2023;-;9;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";23.02.2023;-;18;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";24.02.2023;-;6;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";25.02.2023;-;2;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";26.02.2023;-;2;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";27.02.2023;-;8;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";28.02.2023;-;14;µg/m³
Brandenburg;DEBB063;Wittenberge;"vorstädtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.03.2023;-;16;µg/m³
Brandenburg;DEBB064;Cottbus;"städtisches Gebiet";Hintergrund;"Feinstaub (PM₁₀)";"Tagesmittel (1TMW)";01.01.2023;-;11;µg/m³
